热词名称,数量
宝马,44
平台,42
全新,17
打造,10
基于,9
发布,8
CLAR,8
推出,6
娱乐,6
微软,5
线上,5
一代,4
大众,4
系同,4
汽车,3
智能,3
开发,3
有望,3
国内,3
正式,3
照曝光,3
前驱,3
奔驰,3
新一代,3
UKL,3
宝马新,3
解析,3
OMP,2
工厂,2
开放,2
100,2
Z4,2
丰田,2
Supra,2
Gran,2
Coupe,2
亚洲,2
在线,2
网址,2
X4,2
MQB,2
X5,2
官图,2
后驱,2
华晨,2
M8X,2
技术,2
谍照,2
效果图,2
X3,2
测试,2
带来,2
减重,2
车型,2
未来,2
多款,2
促进,1
数据,1
应用,1
提供,1
定制,1
服务,1
支持,1
解决方案,1
生产,1
开放式,1
制造,1
携手,1
联手,1
制造业,1
联网,1
戴姆勒,1
EV,1
谈判,1
节省,1
79,1
亿美元,1
成本,1
劳斯莱斯,1
售价,1
X7,1
现身,1
最快,1
魔王,1
更多谍,1
2019,1
亮相,1
112222,1
第一,1
检测,1
70088,1
电子,1
娛乐,1
上线,1
app,1
怎么,1
下载,1
网站,1
注册,1
代号,1
G20,1
首发,1
个人,1
助理,1
明年,1
实现,1
人车,1
对话,1
成都,1
车展,1
上市,1
吉利,1
起来,1
怎么样,1
第四代,1
提前,1
两年,1
换代,1
源自,1
最新,1
中华,1
V7,1
全面,1
加持,1
十五年,1
恋爱,1
结晶,1
模块化,1
强大,1
哪里,1
系路试,1
内在,1
变化,1
准备,1
共享,1
曝光,1
M3,1
官方,1
哪些,1
惊喜,1
GT,1
公斤,1
科技,1
之母,1
初见,1
移动,1
X1,1
亮点,1
蜕变,1
前置,1
M2,1
赛道,1
削减,1
数量,1
规划,1
概览,1
新车,1
空间,1
提升,1
F30,1
命名,1
100kg,1
奥迪,1
MLB,1
减支,1
共用,1
保时捷,1
MSB,1
Passat,1
MRA,1
研发,1
级谍,1
照首,1
