pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
51,白城,0.8,75,良,44,,53,,2014-12-31,70,24
244,保定,4.2,377,重度污染,29,,144,,2013-12-02,294,138
48,北海,1.5,78,良,122,,15,,2013-12-02,68,28
3,安阳,2.9,0,良,0,,0,,2013-05-13,85,0
43,白城,0.7,66,良,40,,40,,2015-02-01,60,33
49,白城,0.9,64,良,42,,37,,2015-01-01,68,17
51,保定,0.9,98,良,102,,24,,2014-06-01,74,17
111,保定,1.9,255,中度污染,107,,26,,2014-05-01,153,27
84,保定,0.7,168,轻度污染,80,,29,,2014-04-01,111,44
132,保定,3.4,230,中度污染,65,,117,,2014-03-01,174,73
133,保定,2.8,229,中度污染,32,,77,,2014-02-01,175,52
77,保定,1.8,185,轻度污染,48,,64,,2014-01-01,117,57
26,北海,1.2,50,良,119,,11,,2014-10-01,66,13
3,北海,1.2,17,优,47,,8,,2014-09-01,24,11
6,北海,0.8,25,优,60,,16,,2014-08-01,30,7
3,北海,1.2,28,优,58,,9,,2014-07-01,29,8
7,北海,1.1,35,优,73,,10,,2014-06-01,37,10
34,北海,1.4,62,良,76,,8,,2014-05-01,56,10
43,北海,1.5,73,良,79,,18,,2014-04-01,62,13
24,北海,0.6,51,优,68,,10,,2014-03-01,50,6
42,北海,1.4,65,良,73,,10,,2014-02-01,58,9
131,北海,1.6,167,中度污染,148,,29,,2014-01-01,173,28
108,安阳,2.6,0,轻度污染,55,,103,,2014-03-01,142,57
158,安阳,4.7,181,重度污染,41,,96,,2014-02-01,208,67
65,安阳,2.6,106,良,51,,72,,2014-01-01,88,67
74,安阳,2.9,129,良,35,,76,,2013-12-31,99,68
125,安阳,2.5,112,中度污染,55,,67,,2013-11-01,165,52
0,安阳,3.1,198,轻度污染,184,,95,,2013-10-01,130,80
0,安阳,2.1,96,轻度污染,207,,54,,2013-09-01,143,41
3,安阳,1.2,62,重度污染,168,,32,,2013-08-01,216,29
3,安阳,0.9,101,重度污染,0,,5,,2013-07-01,215,21
3,安阳,1.6,86,良,0,,27,,2013-06-01,74,35
